"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX"
"127","380","380","380","30206840","30206840","30206840","380","380","380","34342816","34342816","34342816","380","380","380","39868498","39868498","39868498"
"128","383","383","383","30195576","30195576","30195576","383","383","383","34338208","34338208","34338208","383","383","383","39867474","39867474","39867474"
"129","386","386","386","30185336","30185336","30185336","386","386","386","34327200","34327200","34327200","386","386","386","39867474","39867474","39867474"
"130","389","389","389","30173816","30173816","30173816","389","389","389","34327200","34327200","34327200","389","389","389","39866450","39866450","39866450"
"131","392","392","392","30157944","30157944","30157944","392","392","392","34320288","34320288","34320288","392","392","392","39863890","39863890","39863890"
"132","395","395","395","30139512","30139512","30139512","395","395","395","34310816","34310816","34310816","395","395","395","39858770","39858770","39858770"
"133","398","398","398","30124664","30124664","30124664","398","398","398","34301344","34301344","34301344","398","398","398","39857746","39857746","39857746"
"134","401","401","401","30104440","30104440","30104440","401","401","401","34297504","34297504","34297504","401","401","401","39851602","39851602","39851602"
"135","404","404","404","30090616","30090616","30090616","404","404","404","34292128","34292128","34292128","404","404","404","39845458","39845458","39845458"
"136","407","407","407","30071928","30071928","30071928","407","407","407","34287008","34287008","34287008","407","407","407","39844434","39844434","39844434"
"137","410","410","410","30052984","30052984","30052984","410","410","410","34277792","34277792","34277792","410","410","410","39839314","39839314","39839314"
"138","413","413","413","30034296","30034296","30034296","413","413","413","34269344","34269344","34269344","413","413","413","39839314","39839314","39839314"
"139","416","416","416","30026104","30026104","30026104","416","416","416","34267296","34267296","34267296","416","416","416","39839314","39839314","39839314"
"140","419","419","419","30006392","30006392","30006392","419","419","419","34259360","34259360","34259360","419","419","419","39836754","39836754","39836754"
"141","422","422","422","29991544","29991544","29991544","422","422","422","34256800","34256800","34256800","422","422","422","39831634","39831634","39831634"
"142","425","425","425","29980024","29980024","29980024","425","425","425","34242976","34242976","34242976","425","425","425","39829074","39829074","39829074"
"143","428","428","428","29968248","29968248","29968248","428","428","428","34239392","34239392","34239392","428","428","428","39823954","39823954","39823954"
"144","431","431","431","29959288","29959288","29959288","431","431","431","34231968","34231968","34231968","431","431","431","39818322","39818322","39818322"
"145","434","434","434","29940600","29940600","29940600","434","434","434","34219936","34219936","34219936","434","434","434","39814738","39814738","39814738"
"146","437","437","437","29920120","29920120","29920120","437","437","437","34202528","34202528","34202528","437","437","437","39812178","39812178","39812178"
"147","440","440","440","29908856","29908856","29908856","440","440","440","34195104","34195104","34195104","440","440","440","39811154","39811154","39811154"
"148","443","443","443","29894520","29894520","29894520","443","443","443","34188192","34188192","34188192","443","443","443","39806546","39806546","39806546"
"149","446","446","446","29876344","29876344","29876344","446","446","446","34177440","34177440","34177440","446","446","446","39803986","39803986","39803986"
"150","449","449","449","29865336","29865336","29865336","449","449","449","34171552","34171552","34171552","449","449","449","39801426","39801426","39801426"
"151","452","452","452","29855352","29855352","29855352","452","452","452","34161824","34161824","34161824","452","452","452","39801426","39801426","39801426"
"152","455","455","455","29845624","29845624","29845624","455","455","455","34154144","34154144","34154144","455","455","455","39800402","39800402","39800402"
"153","458","458","458","29825144","29825144","29825144","458","458","458","34146208","34146208","34146208","458","458","458","39800402","39800402","39800402"
"154","461","461","461","29804920","29804920","29804920","461","461","461","34134688","34134688","34134688","461","461","461","39799378","39799378","39799378"
"155","464","464","464","29787768","29787768","29787768","464","464","464","34131616","34131616","34131616","464","464","464","39795794","39795794","39795794"
"156","467","467","467","29770616","29770616","29770616","467","467","467","34125728","34125728","34125728","467","467","467","39792210","39792210","39792210"
